Age_Group,Gender,Nationality,City,Occupation,Income_Range,Consum_Freq,Occ_work,Occ_exercise,Occ_social,Occ_tired,Rank_Flavor,Rank_Price,Rank_Reputation,Rank_Packaging,Rank_Health,Rank_Availability,Preference_Natural_Ingrid,Preference_Low_Sugar,Preference_Caffeine,Flavor_Citrus,Flavor_Berry,Flavor_Tropical,Flavor_Mint,Flavor_Coffee,Importance_Varitiety,Max_Price_250ml,Packageing_Preference,Importance_EcoFriendly,RedBull,Monster,PowerHorse,Sting,Tiger,Value_Taste,Value_Affordability,Value_BrandReputation,Value_HealthBenefits,Value_Availability,Likely_Try_New
4,0,1,1,2,2,4,1,0,0,0,6,5,6,5,6,6,1,2,1,1,0,1,0,0,3,3,1,1,1,1,1,1,0,1,1,1,0,1,3
3,1,1,3,2,2,4,1,0,0,0,6,3,6,6,6,6,1,3,3,1,0,1,0,0,1,5,1,1,1,1,1,0,0,1,0,1,0,1,2
1,2,1,3,1,1,2,1,0,0,0,6,6,6,6,6,6,1,3,3,0,1,0,0,0,1,3,1,1,1,0,0,1,1,1,1,0,0,1,1
2,0,1,3,1,2,4,0,0,1,0,6,6,6,6,6,6,1,3,3,1,0,0,0,0,3,3,1,1,1,0,0,1,0,1,1,0,0,0,1
2,1,1,4,1,1,5,1,0,0,0,6,6,3,3,3,4,1,1,2,1,1,1,1,0,1,2,2,3,1,0,0,1,0,1,1,0,0,0,1
3,1,1,3,2,2,1,1,0,0,0,1,3,1,1,2,1,3,2,1,1,1,0,0,0,2,5,2,2,1,1,0,1,1,1,0,1,0,1,3
2,1,1,1,2,2,3,1,0,0,0,6,4,6,6,6,6,1,3,1,1,0,0,1,1,2,5,1,2,1,1,1,0,0,1,0,1,1,1,2
2,1,1,3,2,1,2,1,0,0,0,5,2,4,5,2,2,3,2,1,1,1,0,0,0,1,5,1,4,1,1,0,1,0,1,1,1,1,1,2
3,1,1,1,2,2,4,0,0,1,0,6,1,1,6,6,6,1,1,3,1,0,0,0,0,5,5,1,1,1,0,0,0,0,1,0,0,1,0,4
2,0,1,1,1,2,2,1,0,0,0,6,1,6,6,1,5,3,2,3,1,0,0,1,0,2,4,3,1,1,1,1,1,0,1,1,1,1,1,2
2,1,1,1,3,2,5,0,0,0,0,6,6,6,6,6,6,3,3,3,0,0,0,0,0,5,1,4,5,0,0,0,0,0,0,0,0,0,0,5
2,0,1,3,5,3,2,1,0,0,0,3,2,3,3,3,3,3,1,1,0,1,1,1,0,1,5,1,3,1,1,0,0,0,1,1,1,1,1,1
2,0,1,1,5,3,4,0,0,1,0,1,1,1,1,1,1,1,1,3,1,0,0,1,0,3,5,1,1,1,1,0,0,0,1,0,1,1,0,4
2,0,1,3,1,3,5,0,0,0,0,6,2,5,4,1,3,3,1,3,1,0,0,0,0,5,4,1,3,1,1,0,0,0,0,0,1,0,0,3
3,1,1,3,2,2,1,1,0,0,0,1,3,2,2,1,1,1,2,1,1,1,1,0,0,2,5,1,2,1,1,1,1,1,1,0,1,1,1,4
3,0,1,1,2,2,4,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,5,1,1,1,1,1,0,0,1,0,0,0,0,3
3,0,1,3,2,3,4,0,0,0,1,4,1,2,3,1,1,3,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,1,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3,0,1,2,2,2,4,0,1,0,0,1,1,1,1,1,6,1,1,3,1,0,0,1,0,5,4,3,1,1,1,1,1,0,1,1,1,1,1,3
2,0,1,2,3,3,4,0,1,0,0,1,6,1,1,1,3,1,1,3,1,0,0,0,0,3,5,1,1,1,0,0,0,0,1,0,1,1,0,4
2,1,1,2,1,1,4,0,0,1,0,1,2,3,3,2,3,1,3,1,0,1,0,0,0,2,2,1,2,1,0,0,1,1,1,1,0,0,0,2
3,0,1,3,2,3,3,1,0,0,0,6,4,4,3,2,5,3,3,1,1,0,1,1,0,2,5,2,3,1,0,0,0,0,1,1,0,0,1,1
3,1,1,2,2,3,4,0,0,0,1,1,1,4,4,3,4,1,1,2,1,1,1,1,0,2,4,3,1,1,0,0,1,0,1,1,1,1,0,2
